project = Math, iteration=1
Math,4,0.00516605166051661,0.00516605166051661
Math,5,0.00950570342205323,0.00950570342205323
Math,6,0.0249935428999293,0.0265001995830931
Math,10,0.008988764044943821,0.008988764044943821
Math,11,0.00138651877133106,0.00138651877133106
Math,14,0.0846960342621948,0.00141832137493743
Math,22,0.00157837624543751,0.00157837624543751
Math,35,0.0040625,0.0040625
Math,37,0.00873151308304892,0.00887372013651877
Math,53,0.0068707058088694605,0.0068707058088694605
Math,55,0.0037645448323066397,0.0037645448323066397
Math,61,0.252438363587104,0.252438363587104
Math,66,0.151197604790419,0.0173652694610778
Math,67,0.0480997624703088,0.0480997624703088
Math,77,0.200085479826761,0.0607476635514019
Math,89,0.00797872340425532,0.00797872340425532
Math,90,0.140540540540541,0.140540540540541
Math,92,0.240804756637168,0.293141592920354
Math,96,0.0776892430278884,0.0776892430278884
Math,98,0.17554599602912002,0.17554599602912002
